"[how to sort/filter] 
[* = see notes col]
[gray = older info]","is it
aging?",aging mission?,core aging area?,multiple aging diseases?,core aging confs?,"is it
rejuvenation? (y/n)",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage (& link to pipeline),"pipeline image 
[if not clickable, use clin stage link]",Tx or Dx,"categories 
(map to SENS & hallmarks)","diseases/ indications 
[not comprehensive or canonicalized]",species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI,year founded,tot. raised (US$M),$ curr conv rate as of Aug'24,$ curr conv rate (dynamic),raised other curr,pharma partners/ investors,deals $ value (US$M),product names,pubs/ papers,as of (last full row update),date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score (confs wght less),operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,Unnamed: 51,check for all 4 no,updated since Jul 2024?
Alchemab Therapeutics,yes*,no,yes,yes,no,,operating,"drug discovery platform based on sequencing B cells of long-term survivors, understanding the antibody targets & feeding that into a comput. drug discovery engine",pre-clinical,,Tx,broad platform,"FTD, ALS, AD, Huntington's, cancer**",humans,,"CD33, Huntingtin, Complement Factor H",antibodies,pharma,Young Kwon,"Cambridge, UK",no,,,,,62.0,2019,$86,,,,,,,check box for pubs,2024-08-02,2021-05-11,"*See this piece for discussion of the platform's relationship to longevity. 
**Besides pipeline indicationts, also has samples for ALS, more cancers, Covid, & centenarians.",4.24,7.1,1.0,0.6,1.0,1.1,0.6,2.6,2.8,1.0,1.0,1.2,,0,1
Blue Rock Therapeutics (owned by Bayer),yes,no,yes,yes,no,yes,"acquired*, operating independ.",universal pluripotent stem cell lines produced & differentiatied at scale for allogeneic cell therapies for neuro-/cardio-/immunology/more,ph.1 trials,,Tx,stem cells / allogeneic,"PD, neuroDs, dAMD, HF",humans,3,various cell types (see pipeline),cell therapy,pharma,Seth Ettenberg,"Boston, Toronto",public owner,,,"$1,014",,489.0,2016,$225,,,,Bayer,,bemdaneprocel,,2024-07-25,2020-01-05,"*Acquired by Bayer (remaining 59% for $600M) Aug'2019, but website still operating independently. Bemdaneprocel got RMAT designation from FDA for PD as of May'24.",4.16,6.9,1.0,0.6,0.8,1.1,1.1,3.8,4.3,1.0,1.0,1.0,,0,1
LyGenesis,yes,no,yes,yes,no,yes,operating,"allogeneic stem cells to use lymph nodes as in-vivo bioreactors to grow ectopic organs (eg liver, kidney, thymus, pancreas) instead of transplants",ph.2 trials,,Tx,stem cells / allogeneic,"liverDs, kidneyDs, T1D",humans,1,hepatocytes engrafted to lymph nodes,cell therapy,pharma,"Michael Hufford, Eric Lagasse",Pittsburgh,no,,,,,6.0,2017,$46,,,,,,,liver 2; kidney 2,2024-08-01,2019,Juvenencesce sub-company.,4.11,6.8,1.0,0.6,1.0,1.1,2.2,1.1,2.4,1.0,1.0,1.2,,0,1
Glyscend,yes*,no,yes,yes,no,no,operating,"pill to mimic bariatric surgery (polymer that coats duodenum) for T2D, obesity, & NAFLD/NASH ",ph.2 trials,,Tx,metabolism,"T2D, obesity, NAFLD/NASH",humans,2,duodenum lining,polymer drug,pharma,Sapan Shah,Boston,no,,,,,15.0,2014,$21.7,,,,,,,paper & talk abstracts,2024-08-22,2024-08-15,*This counts as a calorie restriction mimetic.,4.05,6.7,1.0,0.6,1.0,1.0,2.0,1.7,1.9,1.0,1.0,1.2,,0,1
Endogena Therapeutics,yes,no,yes,yes,no,yes,operating,drug discovery platform for small molecule regulators of endogenous stem/progenitor cells,ph.2 trials,,Tx,stem cells,"RP, dAMD, IPF",humans,1,see paper,small molecules,pharma,Matthias Steger,Zurich,no,,,,,7.0,2016,$29,,,,,,,only linked pub,2024-08-04,2021-05-06,Rejuveron sub-company.,3.98,6.6,1.0,0.6,1.0,1.1,2.2,1.2,2.1,1.0,1.0,1.2,,0,1
Cognition Therapeutics,only neuro,yes,yes,yes,no,no,operating,"sigma 2 receptor complex small molecule that restores cell (esp neuron) functions including autophagy & prevents Aβ oligomers from binding to neurons, ",ph.2 trials,,Tx,"autophagy, proteostasis","AD, dry-AMD, DLB",humans,13,sigma 2,small molecules,pharma,Lisa Ricciardi,"NYC, Pittsburgh",yes,CGTX,,$77,25.0,41.0,2007,$36,,,,,,Zervimesine,papers,2025-09-13,2024-08-15,,3.9,4.3,0.5,0.9,1.0,1.1,2.2,2.3,2.7,1.0,1.0,1.2,,0,1
Hemostemix,yes,no,yes,yes,no,yes,operating,"autologous stem cells from blood (not bone marrow), first for new blood vessel formation for ischemic conditions",ph.2 trials*,,Tx,stem cells / autologous,"CLTI, wonds, PAD, angina, CM, vasc. dementia, ischemia",humans,1,,cell therapy,pharma,Thomas Smeenk,Canada**,yes,HMTFX,CVE:HEM,$14,,12.0,2003,,,,,,,,papers,2025-09-24,2024-08-15,"*Clinicaltrials.gov record says phase 2. 
**Website has Calgary address but LinkedIn employees mostly in Ontario.",3.9,6.5,1.0,0.6,1.0,1.1,2.2,1.5,1.7,1.0,1.0,1.2,,0,1
Cyclarity,yes,yes,yes,no,yes,yes,operating,cyclodextrin derivatives to remove 7-ketocholesterol to remove arterial plaques,ph.1 trials,,Tx,intracell junk,"atherosclerosis, heart attack, stroke",humans,1,7-ketocholesterol (7KC),drugs,pharma,"Matthew ‘Oki’ O’Connor, Michael Kope",SF,no,,,,,14.0,2019,$24,,,,,,,2021; 2020,2024-08-02,2019,Originally named Underdog.,3.91,5.6,1.0,0.7,1.0,1.0,1.0,1.6,2.0,1.0,1.0,1.2,,0,1
Vandria,yes,yes,yes,yes,no,,operating,tissue-specific small molecule mitophagy induction,pre-clinical,,Tx,mitochondria,"AD, PD, MCI, NASH, IPF, s-IBM",humans,,undisclosed; similar to urolithin A's?,small molecules,pharma,Klaus Dugi,Switzerland,no,,,,,13.0,2021,$32,,,,,,,,2024-09-11,2024-08-26,"Hevolution (co-)led ~$30M series A round, Aug'24.",3.89,4.3,1.0,0.9,1.0,1.1,0.6,1.6,2.2,1.0,1.0,1.0,,0,1
Tranquis Therapeutics,yes,no,yes,yes,yes,,operating,"mitochondria & lysosome drugs to modulate myeloid immune cells via regulating PGC1α, autophagy, lysosome acidity; esp but not only for neuro diseases",ph.1 trials,,Tx,"mitochondria, autophagy","ALS, PD, AD, FTD, HD, MD, FA",humans,0,"PGC1α, lysosome acidity",small molecules,pharma,"Frederic Godderis, Edgar Engleman",SF,no,,,,,8.0,2016,$30,,,,,,,"1 pub, 
2 presos",2024-09-02,2022-06-29,Last news from Aug'22 as of Sep'24.,3.8,5.4,1.0,0.7,1.0,1.1,1.1,1.3,2.1,1.0,1.0,1.2,,0,1
Brainstorm Cell Therapeutics,only neuro,yes,yes,yes,no,yes,operating,autologous stem cells for neurodegeneration: MSCs differentiated to secret more neurotrophic factors (NTFs),ph.3 trials,,Tx,stem cells,"ALS, MS, AD, PD, HD, ARDS, autism",humans,6,,cell therapy,pharma,Chaim Lebovits,Israel,yes,BCLI,,$10,29.0,39.0,2004,$63,,,,,,,papers,2024-09-28,2022-06-20,Phase 3 trials for ALS completed as of 2024.,3.82,4.2,0.5,0.9,1.0,1.1,3.3,2.3,1.5,1.0,1.0,1.2,,0,1
Repair Biotechnologies,yes,yes,yes,yes,yes,yes,operating,"reverse atherosclerosis by directly breaking down (catabolizing) excess free cholesterol, first via LNP delivery of mRNA",pre-clinical,,Tx,intracell junk,"hypercholesterolemia, MASH, atherosclerosis",humans,,free cholesterol,mRNA,pharma,Reason,"Syracuse, NY",no,,,,,8.0,2018,$20,,,,,,,,2024-09-04,2019,,3.73,3.7,1.0,1.0,1.0,1.1,0.6,1.3,1.9,1.0,1.0,1.0,,0,1
Alector,only neuro,yes,,yes,no,no,operating,combat neurodegeneration w/ genetics + immunology + neurology; esp modulate microglia w/ insights from plasma & CSF biomarkers & volumetric MRI,ph.3 trials,,Tx,broad platform,"FTD, AD, PD, LBD",humans,11,"progranulin, TREM2, GPNMB, GCase",,pharma,,SF,yes,ALEC,,$265,244.0,269.0,2013,$270,,,,"GSK ($1.5B), Abbvie","$1,500",,many papers,2024-07-31,2019,,3.69,6.1,0.5,0.6,1.0,1.1,3.3,3.5,3.5,1.0,1.0,1.2,,0,1
Vita Therapeutics,yes,no,yes,yes,no,yes,operating,cell replacement of defective cells via autologous & allogeneic iPSC-derived genetically engineered cell therapy,pre-clinical,,Tx,stem cells / autologous & allogeneic,"muscular distrophies, cancer",humans,0,,cell therapy,pharma,Douglas Falk,DC,no,,,,,20.0,2019,$65.7,,,,,,,papers,2024-08-27,2024-08-15,Cambrian sub-company.,3.62,6.0,1.0,0.6,1.0,1.1,0.6,1.9,2.6,1.0,1.0,1.2,,0,1
NewLimit,yes,yes,yes,,,yes,operating,"epigenetic reprogramming discovery platform via single cell genomics, ML, & high-thru. func. assays to significantly extend healthspan, 1st for immune & liver",pre-clinical,,Tx,epigenetic,,humans,,,,pharma,"Blake Byers, Brian Armstrong, Greg Johnson, Jacob Kimmel",SF,no,,,,,29.0,2022,$247,,,,Lilly ($45),,,,2024-08-05,2022-06-20,Lots of details shared in the operating plan.,3.61,6.0,1.0,0.6,1.0,1.0,0.5,2.1,3.4,1.0,1.0,1.0,,0,1
TECregen,yes,yes,yes,yes,no,yes,operating,"regenerating thymic epithelial cells (TECs) via thymopoietic ligands, growth factors w/ high selectivity",pre-clinical,,Tx,,,humans,,,peptides,pharma,Klaas Zuideveld,"Basel, Switzerland",no,,,,,13.0,2023,$16,,,,,,,,2026-02-11,2025-06-25,,3.45,3.8,1.0,0.9,1.0,1.0,0.5,1.6,1.7,1.0,1.0,1.0,,0,1
FibroBiologics,yes,no,yes,yes,no,yes,operating,"fibroblasts as a cell therapy analog of stem cells, including an allogeneic thymus rejuvenation program",ph.1 trials,,Tx,stem cells,"MS, wound healing, degenerative discs, cancer, diabetes",,2,fibroblasts,cell therapies,pharma,Pete O’Heeron,"Houston, TX",yes,FBLG,,$6,13.0,15.0,2021,$110,,,,,,,papers,2025-10-08,2024-11-08,2024 Article on the thymus program.,2.89,4.8,1.0,0.6,1.0,1.1,1.1,1.7,1.2,1.0,1.0,1.2,,0,1
Anakuria / Navitor Therapeutics,yes,yes,yes,yes,no,no,acquired (see notes),"mTORC1 inhibition, spun out of Navitor",ph.2 trials,,Tx,metabolism / mTOR,"HF, CKD",humans,4,mTOR,small molecules,pharma,,Boston,no,,,,,10.0,2010,$98,,,,J&J/Janssen**,,,several papers,2025-02-18,2019,"Anakuria acquired by Janssen after being spun out of Navitor to hold the mTORC1 inhibition assets. Navitor website now not responding, so whatever other assets were left in parent before spin-out that Navitor looks now defunct.",3.4,3.8,1.0,0.9,0.5,1.0,2.0,1.4,2.9,1.0,1.0,1.2,,0,1
Epirium Bio,yes,no,yes,yes,no,,operating,"small molecule platform for muscle, regeneration, & mitochondria",ph.1 trials,,Tx,mitochondria,"IPF, sarcopenia, SMA",humans,,15-PGDH / PGE2,small molecules,pharma,Russell Cox,SD,no,,,,,16.0,2008,$91,,,,,,,,2024-09-01,2024-08-15,,3.38,5.6,1.0,0.6,1.0,1.1,1.1,1.7,2.8,1.0,1.0,1.0,,0,1
Deciduous Therapeutics,yes,yes,yes,,yes,yes,operating,activate endogenous immune system mechanism to clear senescent cells,pre-clinical,,Tx,senescence,IPF mentioned,humans,,iNKT cells,small molecules,pharma,Robin Mansukhani,SF,no,,,,,16.0,2018,$16.5,,,,,,,key 2021 paper,2024-08-03,2019,"May 2021 news article: 
https://www.statnews.com/2021/05/10/reawakened-immune-cells-show-promise-in-mice-against-senescent-cells/",3.36,4.8,1.0,0.7,1.0,1.0,0.5,1.7,1.8,1.0,1.0,1.2,,0,1
GenFlow Biosciences,yes,yes,yes,yes,no,no,operating,"gene therapies (AAV-based) for aging in dogs & humans, esp relating to SIRT6, inc a centenarian SIRT6 variant","pre-clinical*, vet pre-clinical",,Tx,genomic,"NASH/MASH, Werner, dog aging","dogs, humans",,SIRT6,gene therapy / AAV,"pharma, veterinary",Eric Leire,"London, Belgium",yes,GENF.L,LON:GENF,$11,5.0,5.0,2020,$1.3,1.29,1.34,,,,,papers,2024-09-04,2020-10-01,*This page suggests they are close to starting phase 1.,3.33,3.7,1.0,0.9,1.0,1.1,0.6,1.0,1.5,1.0,1.0,1.2,,0,1
SENISCA,yes,yes,yes,,yes,yes,operating,reverse cell senescence by modulation of RNA alternative splicing,pre-clinical,,Tx,"senescence, splicing",,humans,,,oligonucleotides,pharma,"Sarah Cole, Lorna Harries, Ben Lee","Exeter, UK",no,,,,,21.0,2020,$11,1.29,1.34,,,,,papers,2024-09-03,2020-09-01,,3.29,4.7,1.0,0.7,1.0,1.0,0.5,1.9,1.5,1.0,1.0,1.2,,0,1
Vascarta,yes,no,yes,yes,yes,no,operating,"gel to transport molecules through skin to blood (transdermal loading) via being picked up by blood cells (RBCs) for inflammatory conditions, 1st using curcumin",ph.1 trials,,Tx,inflammation,"OA, Sickle Cell, cancer",,0,"NF-κB, TLR4, NO",,pharma,"Richard Prince, Joel Friedman",NYC,no,,,,,5.0,2020,$7.22,,,,,,Vasporta,see publ'd manus,2025-10-23,2025-10-14,,2.86,4.1,1.0,0.7,1.0,1.1,1.1,1.0,1.3,1.0,1.0,1.2,,0,1
Thymmune Therapeutics,yes,yes,yes,,no,yes,operating,iPSC thymus cell engineering/manufacturing platform generate to off-the-shelf (presumably allogeneic) cells at scale,pre-clinical,,Tx,stem cells / allogeneic,,humans,,,cell therapy,pharma,Stan Wang,Boston,no,,,,,21.0,2019,$42,,,,,,,,2024-10-16,2024-08-15,Inejction into muscle & new thymic tissue develops there (so ectopic).,2.84,4.7,1.0,0.6,1.0,1.0,0.5,1.9,2.3,1.0,1.0,1.0,,0,1
Intervene Immune,yes,yes,yes,,yes,yes,operating,reverse thymus involution & immune aging via HGH + DHEA + metformin via human trials,ph.2 trials,,Tx,stem cells,,humans,1,,,pharma,"Greg Fahy, Robert (Bobby) Brooke",LA,no,,,,,6.0,2013,$0.5,,,,,,,a few on homepage,2024-09-04,2019,,2.82,4.0,1.0,0.7,1.0,1.0,2.0,1.1,0.2,1.0,1.0,1.2,,0,1
Rejuvenate Bio,yes,yes,yes,yes,no,no,operating,liver directed (combo) gene therapy for dogs & humans for age-related diseases,pre-clinical; vet clinical trials,,Tx,"metabolism and/or cell communication?, klotho","dogs: MVD, obesity, KF, OA; humans: ACM, HF, FPL, obesity, MASH","dogs, humans",,"FGF21, αKlotho, sTGFβR2, AAV",gene therapy,"veterinary, pharma","Daniel Oliver, Noah Davidsohn, George Church",SD,no,,,,,14.0,2017,$19,,,,,,,2 at bottom,2024-08-17,2019,Not to be confused with Rejuvenate Biomed.,2.77,3.1,1.0,0.9,1.0,1.1,1.7,1.6,1.8,1.0,0.5,1.2,,0,1
Shift Biosciences,yes,yes,yes,,yes,yes,operating,"reprogramming platform: AI/ML, custom single-cell transcriptomic aging clock, & wet lab tests to identify safe (max efficacy / least pluripotency) gene combos",pre-clinical,,Tx,epigenetic,,humans,,,,pharma,Daniel Ives,"Cambridge, UK",no,,,,,11.0,2017,$22.5,,,,,,,,2024-08-16,2019,,2.77,4.0,1.0,0.7,1.0,1.0,0.5,1.5,2.0,1.0,1.0,1.0,,0,1
Pluri Inc (prev Pluristem),yes,no,yes,no*,no,yes,operating,"placenta-derived allogeneic stem cell expansion platform, first for muscle, hematological conditions",ph.2 trials,,Tx,stem cells / allogeneic,"muscle injury, GVHD, radiation",humans,11,placental derived stem cells,cell therapy,pharma,Yaky Yanay,"Israel, Brazil",yes,PLUR,,$34,123.0,183.0,2003,$163,,,,,,,papers,2024-07-16,2022-06-29,"*Only muscle regen is really an aging diseases at present, but platform clearly has wider applicability so this will prob change to yes in future.",2.75,9.2,1.0,0.3,1.0,1.1,2.2,3.2,2.2,1.0,1.0,1.2,,0,1
Tolerance Bio,yes,yes,yes,,,yes,operating,restore thymus w/ adult stem cell / iPSC derived thymic epithellial cell transplants & thymic organoids; also drugs,pre-clinical,,Tx,stem cells,,humans,,,"cell therapy, small molecules",pharma,Francisco Leon,SD,no,,,,,10.0,2023,$17.2,,,,,,,papers,2024-10-16,2024-10-16,,2.69,4.5,1.0,0.6,1.0,1.0,0.5,1.4,1.8,1.0,1.0,1.2,,0,1
Fauna Bio,yes*,no*,yes,,yes,,operating,comparative animal genomics & multi-omics for drug discovery biased to human druggable targets to generally improve human health inc. longevity areas,pre-clinical,,Tx,broad platform,,humans,,,,pharma,"Ashley Zehnder, Katie Grabek, Linda Goodman",SF,no,,,,,28.0,2018,$13,,,,Lilly ($494M),$494,,pubs at bottom,2024-07-28,2019,*Central idea & mission phrased more generally for human health in any area but many lead areas specifically important in aging & longevity mentioned explicitly as an area in a few places.,2.64,6.6,1.0,0.4,1.0,1.0,0.5,2.1,2.9,1.0,1.0,1.2,,0,1
Cleara Biotech,yes,yes,yes,yes,no,yes,operating,"senolytics (esp vs 'scarred' SnCs), initially based on FOXO4, for healthspan & cancer, first for mutant-p53 cancer",pre-clinical,,Tx,senescence,"cancer, liverDs",humans,,p53,peptides,pharma,Peter de Keizer,Netherlands,no,,,,,13.0,2018,$2.5,,,,,,,,2024-09-04,2019,,2.63,2.9,1.0,0.9,1.0,1.1,0.6,1.6,0.8,1.0,1.0,1.0,,0,1
Vincere Biosciences,yes,yes,yes, ,yes,,operating,"small molecule mitophagy upregulation, esp for PD, via USP30 inhibition or Parkin activation",pre-clinical,,Tx,mitochondria,"PD, kidneyDs?",humans,,"USP30, Parkin",small molecules,pharma,"Spring Behrouz, Andy Lee",Boston,no,,,,,10.0,2018,$16,,,,,,,,2024-09-07,2024-08-15,"Talks by & on the company abound, eg 2024 Dublin Longevity Summit. Spun out of NeuroInitiative.",2.59,3.7,1.0,0.7,1.0,1.0,0.5,1.4,1.8,1.0,1.0,1.0,,0,1
CellVie,yes,yes,yes,no,yes,,operating,"allogeneic mitochondria transplantation 1st for ischemia-reperfusion injury, esp arising via kidney transplant, then broader aging",pre-clinical,,Tx,mitochondria,kidney transplant,humans,,,cell/organelle therapy,pharma,Alex Schueller,"Zurich, Switzerland",no,,,,,11.0,2018,$11,,,,,,,,2024-09-05,2022-06-28,Transplanted mitochondria enter cells via endocytosis & merged with the mito network.,2.46,3.5,1.0,0.7,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.0,,0,1
Lineage Cell Therapeutics,yes,no,yes,no,no,yes,operating,allogeneic transpalntation of cells terminally differentiated f/ reproducible pluripotent stem cells,ph.2 trials,,Tx,stem cells / allogeneic,"dry AMD, SCI, hearing loss",humans,2,"RPE cells, OPCs",cell therapy,pharma,,SD,yes,LCTX,,$371,68.0,32.0,1990,$109,,,,Roche/Genentech ($670M),$670,OpRegen,,2024-07-27,2022-09-23,,2.41,8.0,1.0,0.3,1.0,1.1,2.2,2.2,3.7,1.0,1.0,1.0,,0,1
MetroBiotech (International),yes,yes,yes,,no,no,operating,pharmaceutical NAD+ precursors & enhancers,ph.2 trials,,Tx,mitochondria / NAD+,"T2D, diabetic kidney disease, Covid, FA",humans,4,,,pharma,"David Livingston, David Sinclair*",,no,,,,,9.0,2014,unknown,,,,,,,mix from company +external,2024-09-03,2024-08-15,"*David Sinclair is often mentioned as a founder & SAB member, and lists the company on his LinkedIn page (thru 'present'), but he's not currently listed on the company website as of Sep'24.",2.42,4.0,1.0,0.6,1.0,1.0,2.0,1.4,0.0,1.0,1.0,1.2,,0,1
Morphoceuticals Inc,yes,yes,yes,,no,yes,operating,"bioelectrics, together with multi-omics & AI, for tissue repair and organ regeneration",pre-clinical,,Tx,stem cells*,,humans,,,,pharma,"Jim Jenson, Michael Levin",Boston,no,,,,,6.0,2020,$14.5,,,,,,,papers,2024-10-18,2021-05-12,"*Not based on stem cells, but ""stem cells"" is the categorical term used on this site for regenerative med (replentishing cell loss), which is the best-fit category for this company.
Juvenescence sub-company.",2.39,4.0,1.0,0.6,1.0,1.0,0.5,1.1,1.7,1.0,1.0,1.2,,0,1
ImmuneAGE Bio,yes,yes,yes,yes,yes,yes,operating,immune system rejuvenation drug platform via 1000x HSC expansion enabling screening & better BMT; also mitophagy & mitochondria biogenesis small molecule,pre-clinical,,Tx,"stem cells, mitochondria","ARIs, BMT (MM), HSC banking (pre-chemo)",humans,,similar to Urolithin A's? (source)*,"small molecules, cell therapy",pharma,Sebastian A. Bunemeier,,no,,,,,6.0,2022,$2,,,,,,,,2024-09-11,2024-08-15,*Also a patent here.,2.35,2.3,1.0,1.0,1.0,1.1,0.6,1.1,0.7,1.0,1.0,1.0,,0,1
"Revel
Pharmaceuticals",yes,yes,yes,,yes,yes,operating,platform for designing enzymes to repair drivers of aging & disease: accumulation of toxic proteins or metabolites esp. AGEs,pre-clinical,,Tx,ECM,RA,humans,,"CML, citrulline, glucosepane, carbamylation",enzymes,pharma,Aaron Cravens,SF,no,,,,,7.0,2019,$10.7,,,,,,,,2024-08-20,2019,16min presentation at 2024 Rejuvenation Startup Summit in Berlin.,2.27,3.2,1.0,0.7,1.0,1.0,0.5,1.2,1.5,1.0,1.0,1.0,,0,1
GenSight Biologics,yes*,no,yes,no,no,yes,operating,allotopic expression of mito gene ND4 in nucleus w/ mRNA delivery to mito membrane; also optogenetics system; for retinal diseases via AAV gene therapy,ph.3 trials,,Tx,mitochondria,"LHON, RP, dAMD",humans,9,mito ND4 gene,gene therapy / viral,pharma,Laurence Rodriguez ,"Paris, NYC",yes,SIGHT.PA,EPA:SIGHT,$21,16.0,38.0,2012,$264,,,,,,LUMEVOQ,,2024-07-26,2019,*Allotopic expression of mtDNA w/ mito delivery could rescue general mito aging. This is farthest along allotopic exp clin prog tho for genetic disease. Had notable ph.3 fails 2018-19 inc unusual fail due to improved vision in control eye. Now pursuing new ph.3 involving treating both eyes.,2.24,7.5,1.0,0.3,1.0,1.1,3.3,2.3,1.9,1.0,1.0,1.0,,0,1
Neuraly,only neuro,yes*,,yes,no,no,operating,neurodegeneration 1st via GLP-1R agonist that targets microglia/astrocytes-induced neuroinflammation w/ preclinical efficacy in PD & AD models,ph.2 trials,,Tx,inflammation?,"PD, AD, stroke",humans,5,GLP-1 (in microglia/ astrocytes),small molecules?,pharma,"Seulki Lee, Ted Dawson, Viktor Roschke",DC,no,,,,,16.0,2016,$36,,,,,,,papers (at bottom),2024-08-20,2024-08-15,"*Mission is neurodegeneration, so within neuro-only focus, counts as aging since non-aging neuro indicatinos (TBI, genetic diseases) aren't a focus. 
Subsidiary of D&D Pharmatech",2.22,3.7,0.5,0.6,1.0,1.1,2.2,1.7,2.2,1.0,1.0,1.2,,0,1
Covalent Bioscience,yes,yes,yes,yes,no,yes,operating,"catalytic antibodies (catabodies) for aging (1st for ATTR, Aβ, & tau) & electrophilic vaccines (1st for HIV)",pre-clinical,,Tx,proteostasis,"CVD, AD, HIV",humans,,"ATTR, Aβ, tau",biologics,pharma,,Houston,no,,,,,4.0,2011,$2.0,,,,,,,papers,2024-10-04,2019,"Feb'24 article suggests current activity & seeking funding, but ""recent news"" page on website has no news since Jun'19.",2.21,2.5,1.0,0.9,1.0,1.0,0.5,0.9,0.7,1.0,1.0,1.2,,0,1
Klotho Therapeutics,yes,yes,yes,yes,no,no,operating,recombinant klotho,pre-clinical,,Tx,klotho,"neuroDs, kidneyDs, cancer, diabetes",humans,,klotho,biologics,pharma,,,no,,,,,2.0,2016,$10,,,,,,,,2024-07-29,2024-07-29,,2.18,2.4,1.0,0.9,1.0,1.0,0.5,0.4,1.5,1.0,1.0,1.0,,0,1
Ponce Therapeutics,yes,yes,yes,yes,no,yes,operating,2 senolytics for epithelial & mesenchymal SnCs & SASP-suppressing tyrosine kinase inhibitor senomorphics ,pre-clinical,,Tx,senescence,"wrinkles, cataracts",humans,,Caspase-9; JAK2/3//TYK2,"peptides, small molecules?",pharma,Kevin Slawin,Houston,no,,,,,8.0,2019,$1.5,,,,,,,,2024-08-23,2024-08-23,"Both topical (skin) & systemic programs. 
Not to be confused with Ponce de Leon Health (Rejuvant)",2.17,2.4,1.0,0.9,1.0,1.1,0.6,1.3,0.6,1.0,1.0,1.0,,0,1
MitoRX Therapeutics,yes*,no,yes,yes,no,no,operating,mitochondria small molecules regulating sulfide-signaling: substrate replenishment for trans-sulfuration deficiency ,pre-clinical,,Tx,mitochondria,"DMD, obesity, COPD, HD, AD, PD, CBS-def, CMT2A",humans,,,small molecules,pharma,"Jon Rees, Matt Whiteman","London, Oxford, UK",no,,,,,14.0,2021,$6.9,,,,,,,,2024-09-01,2024-08-15,"*Rare mito diseases are initial focus, but technology applicable to neurodegeneration & mito aging broadly.",2.08,3.5,1.0,0.6,1.0,1.1,0.6,1.6,1.3,1.0,1.0,1.0,,0,1
Longevity Biotech,yes*,no,yes,yes,no,no,operating,"synthetic orally available peptide platform, esp for neuroinflammatory diseases",ph.1 trials,,Tx,"inflammation, metabolism","PD, neuroinflammation, diabetes, cancer",humans,2,"B-GPCR, VIP, GLP-1, GIP",peptides,pharma,Scott Shandler,Philadelphia,no,,,,,6.0,2010,$1.9,,,,,,,several,2024-09-03,2019,"*Longevity in company name refers to stability of the peptides, not longevity of the patient. Nonetheless, the targets/MoAs include age related areas of neuroinflammation & nutrient sensing, plus all indications are age-related diseases as of Sep'24, despite that aging/longevity doesn't seem to be a company focus.",2.07,3.4,1.0,0.6,1.0,1.1,1.1,1.1,0.7,1.0,1.0,1.2,,0,1
Klotho Neurosciences,yes,yes,yes,yes,no,no,operating,novel truncated klotho variant via gene therapy or as recombinant protein biologic,pre-clinical,,Tx,klotho,"AD, PD, HD, CVD, KD",humans,,klotho,"biologics, gene therapy / viral",pharma,Joseph Sinkule,,yes,KLTO,,,3.0,4.0,2019,$3.1,,,,,,,,2025-06-10,2025-06-10,,2.06,2.3,1.0,0.9,1.0,1.1,0.6,0.9,0.9,1.0,1.0,1.0,,0,1
Samsara Therapeutics,only neuro,yes,yes,yes,no,no,operating,small molecule autophagy activators screening platform via iPSC testing for neurodegeneration,pre-clinical,,Tx,autophagy,neuroDs,humans,,"TDP-43, α-synuclein, PMP-22",small molecules,pharma,,"Oxford, UK",no,,,,,23.0,2018,$25,,,,,,,,2024-08-02,2019,Not to be confused with public software company Samsara.,2.04,2.3,0.5,0.9,1.0,1.1,0.6,1.9,2.0,1.0,1.0,1.0,,0,1
Pretzel Therapeutics,yes*,no,yes,,no,no,operating,"upregulate mtDNA for mitochondria health, 1st for genetic mitochondria diseases but also for age-related conditions",pre-clinical,,Tx,mitochondria,,humans,,,,pharma,Jay Parrish,"Sweden, Boston",no,,,,,49.0,2019,$73,,,,,,,papers,2024-09-10,2024-08-15,"*Assuming yes based on generality of potential of upregulation of mtDNA, but if the company never goes beyond genetic mitochondria diseases, it may eventually be moved off of this list.",2.01,6.7,1.0,0.3,1.0,1.0,0.5,2.4,2.7,1.0,1.0,1.2,,0,1
Casma Therapeutics,yes,no,yes,no,no,no,operating,drug platform (using heterobifunctional chemistry) for modulating autophagy as a form of targeted degradation (autophagosome biogenesis around the target),pre-clinical,,Tx,autophagy,"cancer, PD",humans,,TRPML1,drugs,pharma,Frank Gentile,Boston,no,,,,,18.0,2018,$183,,,,,,,select type = pub,2024-08-20,2023-05-29,,2.01,6.7,1.0,0.3,1.0,1.1,0.6,1.8,3.2,1.0,1.0,1.2,,0,1
